100 Mile Free Press 	Left-Center 	High 	Canada 	High Credibility 	Newspaper 	Minimal Traffic 	
100% Fed up 	Questionable Sources 	Low 	United States 	Low Credibility 	Website Only 	Medium Traffic 	55
KOLN\KGIN - Lincoln News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
KNPL - North Platte News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Minimal Traffic 	
WBNS-TV (10tv.com) 	Least Biased 	High 	United States 	High Credibility 	TV Station 	High Traffic 	
WXIA - 11alive.com 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	64
12minutos.com 	Questionable Sources 	Low 	Unknown or Invalid Region 	Low Credibility 	Website Only 	Minimal Traffic 	32
12 News KPNX 	Least Biased 	High 	United States 	High Credibility 		Medium Traffic 	55
KNAZ - Flagstaff News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
KBMT - 12NewsNow 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	54
WTVG - 13 Action News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WVEC - 13NewsNow.com 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	56
WHAM - Rochester News 	Right-Center 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WMAZ - Macon News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WFIE - Evansville News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
OneEighty 	Least Biased 	Mixed 	United States 	Medium Credibility 	Website Only 	No Data 	15
1945 - 19fortyfive 	Right-Center 	Mostly Factual 	United States 	High Credibility 	Website Only 	Medium Traffic 	
The 19th News 	Left 	High 	United States 	High Credibility 	Organization/Foundation 	Medium Traffic 	
2020 Conservative 	Questionable Sources 	Very Low 	Unknown or Invalid Region 	Low Credibility 	Website Only 	Minimal Traffic 	
2020ElectionCenter.com 	Conspiracy-Pseudoscience 	Very Low 	United States 	Low Credibility 	Website Only 	High Traffic 	
21st Century Wire 	Conspiracy-Pseudoscience 	Mixed 	United States 	Low Credibility 		Medium Traffic 	64
24/7 Wall St 	Least Biased 	High 	United States 	High Credibility 	Website Only 	Medium Traffic 	
