The Mary Sue 	Left 	Mixed 	United States 	Medium Credibility 		Medium Traffic 	83
The National (UAE) 	Questionable Sources 	Mixed 	United Arab Emirates 	Low Credibility 		Minimal Traffic 	86
The New Civil Rights Movement 	Left 	Mixed 	United States 	Medium Credibility 		Medium Traffic 	66
The Post & Email 	Right 	Mixed 	United States 	Medium Credibility 		Minimal Traffic 	56
The Religion of Peace 	Questionable Sources 	Low 		Low Credibility 		Minimal Traffic 	77
The Times UK and Sunday Times 	Right-Center 	High 	United Kingdom 	High Credibility 	Newspaper 	High Traffic 	97
Times-News (Pennsylvania) 	Right-Center 	High 	United States 	High Credibility 	Newspaper 	Medium Traffic 	60
Red River Valley News 	Least Biased 	High 	United States 	High Credibility 		Medium Traffic 	66
Christian Broadcasting Network (CBN) 	Conspiracy-Pseudoscience 	Mixed 	United States 	Low Credibility 	TV Station 	High Traffic 	76
WXII -Winston-Salem News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WXOW - La Crosse News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WXYZ - Detroit News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	High Traffic 	
Wyandotte Times 	Questionable Sources 	Mixed 	United States 	Low Credibility 	Website Only 	Minimal Traffic 	
Gazeta Wyborcza 	Left-Center 	High 	Poland 	High Credibility 	Newspaper 	High Traffic 	
WYFF - Greenville News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	High Traffic 	
WYMT - Eastern Kentucky News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
KCWY - Casper News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Minimal Traffic 	
KGWN - Wyoming News Now 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
WYFX - Youngstown News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Minimal Traffic 	
WYTV - Youngtown Ohio News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Minimal Traffic 	
WZMQ - Marquette News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Minimal Traffic 	
WZZM - Grand Rapids News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
X22 Report 	Conspiracy-Pseudoscience 	Low 	United States 	Low Credibility 	Website Only 	Medium Traffic 	46
Xenia Gazette 	Right-Center 	High 	United States 	High Credibility 	Newspaper 	Minimal Traffic 	
Xinhua News Agency 	Questionable Sources 	Mixed 	China 	Low Credibility 	News Agency 	High Traffic 	90
Young Americas Foundation (YAF) 	Right 	Mixed 	United States 	Medium Credibility 	Organization/Foundation 	Minimal Traffic 	69
KAPP - Yakima News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
KVEW - Kennewick News 	Least Biased 	High 	United States 	High Credibility 	TV Station 	Medium Traffic 	
YaleGlobal Online 	Left-Center 	High 	United States 	High Credibility 	Organization/Foundation 	High Traffic 	73
